gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn
1,1,1,1,0,6,1,29,14.22747042,5,3,0.020397948,0,0
0,1,0,0,1,12,1,31,113.2029377,12,7,1.922936055,1.910243522,0
0,1,1,0,1,1,0,28,129.4484793,1,2,1.859098347,1.736501892,0
0,1,1,1,1,12,1,33,62.66986319,12,2,3.205632768,3.357214513,0
1,1,1,1,1,1,0,26,198.3622654,1,3,1.1138844,1.120078107,0
1,1,0,0,1,1,1,34,450.7439599,1,3,2.623476807,2.637006965,0
1,1,1,1,0,6,1,32,94.26638851,6,2,1.138941228,1.277241631,0
0,1,0,0,1,1,0,30,217.7866411,1,0,1.213501963,1.049387145,1
1,1,1,1,1,1,1,23,45.4099092,1,1,1.106238933,1.059332977,0
0,1,0,0,1,1,0,31,65.31083634,1,11,1.810851905,1.951367655,0
0,1,0,0,0,6,1,32,229.7089452,6,3,1.641179662,1.367713967,0
1,1,1,0,1,1,0,27,266.7838237,1,2,2.348535336,1.584315827,1
0,1,1,1,1,1,1,33,148.4180528,1,4,3.36860575,3.391853172,0
1,1,0,0,1,1,1,27,152.7486685,1,1,0,0,1
0,1,0,0,1,6,0,35,209.8881332,3,8,1.978083818,2.117349156,0
0,1,1,1,1,12,0,29,101.3726042,10,4,2.850402196,2.836455259,0
0,1,1,1,1,1,1,31,11.97529526,1,0,3.342261143,3.206223223,0
0,1,0,1,1,6,1,29,92.78741424,5,1,0.664482475,0.609945294,0
0,1,0,0,1,1,1,30,97.80431526,1,8,1.507075576,1.578738048,0
1,1,1,1,1,12,1,29,73.91754595,11,14,1.14132701,1.15845453,0
1,1,0,0,1,6,1,29,338.5968593,6,1,3.563598988,3.479553073,0
0,0,0,0,1,1,0,30,153.1985938,1,3,0.636381801,0,1
1,1,0,0,1,12,1,29,100.1581304,12,1,3.899715124,3.709854879,0
1,1,0,0,1,1,1,32,276.0798822,1,1,1.420637156,1.04310121,1
0,1,0,1,0,6,0,27,179.5554573,6,6,3.393160619,3.282515346,0
0,0,0,0,1,1,0,29,57.7300065,1,0,1.491187497,1.246806504,1
0,1,1,0,1,6,0,29,167.8752111,6,5,3.311349562,3.243411886,0
1,1,0,1,1,6,0,27,31.80538969,6,3,0.824283314,0.795761049,0
0,1,0,0,1,1,0,28,242.3665005,1,15,1.459409447,1.320371629,0
0,1,1,1,1,6,1,27,159.1489237,5,3,3.511568179,3.528885688,0
0,1,1,0,1,1,1,32,44.67250817,1,1,1.771691979,1.687871912,0
0,1,0,0,1,12,1,32,87.85613947,12,1,0,0,0
0,1,0,0,1,12,0,32,131.1145864,12,3,2.374935354,2.265088894,0
0,1,1,1,1,12,0,29,208.9807515,12,12,3.083502749,3.137978891,0
0,1,0,0,1,6,0,26,243.5106802,5,4,1.695006302,1.678118722,0
0,1,0,0,1,12,1,33,188.5908626,12,11,0.561138484,0.565910621,0
0,1,0,0,0,1,0,34,65.74274262,1,1,1.069989268,1.051994542,0
1,1,0,0,1,1,1,32,14.25472126,1,21,3.372313804,3.315714935,0
1,1,1,1,1,12,1,25,179.0388396,12,12,1.794938577,1.71677779,0
1,1,0,1,0,6,1,35,233.2395478,6,0,1.270751504,1.206591035,0
0,1,1,1,1,12,0,33,5.135184497,12,5,2.945237965,3.008917867,0
0,1,1,1,0,1,0,25,161.607349,1,1,0.878949848,0.009244081,1
0,1,0,0,1,12,0,36,108.9094428,12,1,2.046309894,2.07970426,0
0,1,1,1,0,1,1,30,261.7131881,1,4,3.863329319,3.808261701,0
1,1,1,0,1,12,0,29,332.4890411,9,4,3.071430754,3.112817956,0
1,1,1,0,1,6,0,29,139.3495238,6,8,1.391037096,1.354437185,0
1,1,0,0,1,1,0,26,54.18423621,1,0,0.854079257,0,1
1,1,1,1,1,6,0,33,115.0991177,6,3,3.373237583,3.378391178,0
1,1,0,1,1,1,1,25,152.9542382,1,12,2.91504497,2.868584955,0
0,1,0,0,1,6,0,27,272.9971809,6,12,2.288928345,2.204329295,0
1,1,0,0,1,1,0,33,204.2615057,1,6,1.802518542,1.721623547,0
1,0,1,0,1,1,0,29,373.0665031,1,0,1.685822841,1.661742077,0
1,1,0,1,1,1,1,30,252.915683,1,1,1.491547003,1.05926085,1
0,1,0,0,1,6,1,24,1.754737157,4,6,3.005656471,2.987132801,0
0,1,0,0,1,12,1,23,34.97207232,11,3,0.029427566,0.213189092,0
0,1,1,1,0,1,0,30,194.6691783,1,4,1.893015397,1.900943038,0
1,1,0,0,1,6,1,30,134.4978469,6,2,1.686987233,1.708879768,0
0,1,0,0,1,6,1,27,236.9158279,6,0,0.996493017,0,1
1,1,1,1,1,6,0,28,115.774878,6,2,0.633591609,0.755099793,0
1,1,1,1,1,1,0,34,166.8627542,1,10,0,0,0
0,1,1,0,1,1,1,28,262.3095684,1,2,1.026610508,0.960487015,1
0,1,1,0,1,6,0,32,55.77441782,5,6,0.81356149,0.874677367,0
0,1,1,1,0,6,0,34,72.64111199,6,2,0,0,0
1,1,0,0,1,1,0,28,42.16080904,1,1,0.42501141,0.605246541,1
0,1,1,0,1,6,0,30,95.37852877,6,2,2.917374157,2.968503818,0
1,1,1,1,1,1,1,31,163.9731019,1,6,1.424518114,1.03595631,0
0,1,0,0,1,1,0,28,35.11089528,1,1,1.704473442,0.886979724,1
1,1,0,0,1,1,1,30,414.5433843,1,3,2.848327284,2.863162636,0
0,1,0,0,1,1,0,27,152.0652465,1,1,1.075700969,1.580902001,1
1,1,0,0,1,6,0,27,122.3356154,6,7,2.399736098,2.339798065,0
1,1,1,0,0,1,0,27,228.0719506,1,0,1.719377121,1.340513653,1
0,1,1,1,1,12,0,26,174.9780544,11,0,1.061644253,1.027229482,0
1,1,1,1,1,6,0,29,134.5641119,5,0,1.725834565,0.894814774,1
0,1,0,0,1,1,0,24,31.34056859,1,1,0.465045229,0,1
1,1,0,0,1,1,0,24,215.4089098,1,2,1.782107168,2.126977713,1
1,0,0,0,1,1,0,30,8.398416979,1,2,1.851313435,1.363330028,1
1,0,0,0,1,1,1,30,249.5130881,1,2,0.875440252,1.002298542,0
1,1,0,0,1,1,0,32,241.080378,1,5,3.824978831,4.100003958,0
0,1,1,0,1,6,1,30,68.78617061,6,4,1.522096643,1.624436031,0
0,0,0,0,1,1,0,25,277.7136525,1,12,3.411634956,3.34178017,0
1,1,1,0,1,1,1,28,132.1446319,1,1,3.715492979,3.907798981,0
1,1,1,1,1,6,1,26,73.17954866,6,7,0.631730592,0.702094819,0
0,1,0,1,1,1,0,24,83.65564541,1,0,0.26891927,0.102648979,1
1,1,0,0,1,1,0,23,27.72516718,1,1,1.740580473,1.135342274,1
0,1,1,1,1,6,1,28,287.8354741,5,5,2.946074826,2.935886608,0
1,1,1,1,1,1,0,25,34.3328579,1,3,0.118733876,0,1
1,1,1,0,1,12,1,30,251.4285936,11,4,1.173747718,1.297812289,0
0,1,0,0,1,6,0,28,32.9394256,6,4,2.246599383,2.320004834,0
0,1,0,0,1,1,0,26,123.6966337,1,0,2.370527312,2.646769817,1
1,0,1,0,1,1,0,27,22.33167911,1,5,0.474776519,0.502559212,0
1,1,1,0,1,12,1,26,28.73750209,10,4,1.494063635,1.397363976,0
1,0,0,0,0,1,0,28,168.777586,1,6,2.191897557,2.142850991,0
0,1,1,0,1,1,0,28,340.3376306,1,3,3.77478737,3.756804542,0
0,1,1,1,1,1,0,31,6.075928812,1,1,2.48453941,1.38096129,1
0,1,0,0,1,6,1,21,232.9395502,5,0,2.175457765,1.371496072,1
1,1,0,0,1,6,0,25,101.7026043,5,0,0.669805658,0.363487178,1
1,1,1,0,1,6,0,30,179.123852,6,3,2.938672729,2.878774224,0
1,1,1,1,1,6,1,31,23.30183744,6,6,1.040157664,0.98488222,0
1,1,0,0,1,1,0,26,125.3869629,1,0,1.380921251,0.270031171,1
1,1,0,0,1,1,0,26,31.12160271,1,3,1.746990599,1.023474246,1
1,1,0,0,1,1,1,25,51.29686857,1,1,2.40391921,1.778108383,1
0,1,0,0,1,1,0,29,83.36584987,1,0,1.046981697,0.470014417,1
0,1,1,1,1,1,0,33,16.74915013,1,1,2.911744013,2.944011414,0
0,1,1,0,1,1,0,26,146.340701,1,2,1.211587958,0.974721694,1
0,1,0,0,1,12,0,31,29.41397014,12,20,1.451435329,1.439018353,0
